Club,FullName,City,Founded
Damash GLN,Damash Gilan,Rasht,1975
Esteghlal AHV,Esteghlal Ahvaz,Ahvaz,1948
Esteghlal KHU,Esteghlal Meli-Sanati Khuzestan,Ahvaz,2008
Esteghlal TEH,Esteghlal Tehran,Tehran,1945
Fajr Sepasi SHZ,Fajr Shahid Sepasi,Shiraz,1988
FC Mashhad MSH,Siah Jamegan abomoslem,Mashhad,2011
Foolad KHU,Foolad Khuzestan,Ahvaz,1971
Gostaresh TBZ,Gostaresh Foulad Tabriz,Tabriz,2008
Malavan ANZ,Malavan Anzali,Bandar-e Anzali,1969
Mashin Sazi TBZ,Machine Sazi Shahrdari Tabriz ,Tabriz,1969
Mes KRM,Mes Rafsanjan,Rafsanjan,1997
Naft MJS,Naft Masjed-Soleyman,Masjed-Soleyman,1965
Naft TEH,Naft Tehran,Tehran,1950
Padideh MSH,Padideh Khorasan,Mashhad,2007
Pars Jonobi JAM,Pars Jonoubi Jam,Jam,2010
Paykan TEH,Paykan Tehran,Qods,1967
Perspolis TEH,Persepolis Tehran,Tehran,1963
Rahahan RAY,Rah Ahan ,Shahr-e-Rey,1937
Rahahan TEH,Rah Ahan Crystal,Tehran,1937
Saba QOM,Sabaye Qom,Qom,1974
Saipa ALB,Saipa,Karaj,1989
Sanat Naft ABD,Sanate Naft Abadan,Abadan,1972
Sepahan ESF,Foolad Mobarakeh Sepahan,Isfahan,1953
SepidRood RST,Sepidrood Rasht Sport Club,Rasht,1968
SiahJamegan MSH,Siah Jamegan Khorasan,Mashhad,1970
Teraktor TBZ,Tractor Sazi Tabriz,Tabriz,1970
Zobahan ESF,Zob Ahan Isfahan,Isfahan,1969
