Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2014,05,Sepahan ESF,Game Half1 Start,00:00:00,,,,
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Foolad KHU,Ayoub,Vali,Defender
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Foolad KHU,Leonard,Mesaric,Defender
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Foolad KHU,Mehrdad,Jamaati,Defender
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Foolad KHU,Sasan,Ansari,Forward
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Foolad KHU,Alireza,Salimi,Goalkeeper
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Foolad KHU,Ahmad,Abdollahzadeh,Midfield
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Foolad KHU,Esmaeel,Sharifat,Midfield
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Foolad KHU,Mahdi,Baderlo,Midfield
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Foolad KHU,Mathias,Chago,Midfield
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Foolad KHU,Soroush,Rafiei,Midfield
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Foolad KHU,Yousef,Vakia,Midfield
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Sepahan ESF,Abdollah,Karami,Defender
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Sepahan ESF,Ali,Hamoodi,Defender
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Sepahan ESF,Hadi,Aghili,Defender
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Sepahan ESF,Voorya,Ghafoori,Defender
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Sepahan ESF,Luciano Pereira,Mendez,Forward
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Sepahan ESF,Mahdi,Sharifi,Forward
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Sepahan ESF,Bahram,Ahmadi,Midfield
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Sepahan ESF,Hossain,Papi,Midfield
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Sepahan ESF,Mohamad Reza,Khalatbari,Midfield
IPL2014,05,Sepahan ESF,Player in Line-up,00:00:00,Sepahan ESF,Moharam,Navidkia,Midfield
IPL2014,05,Sepahan ESF,Card: Yellow,00:01:00,Foolad KHU,Esmaeel,Sharifat,Midfield
IPL2014,05,Sepahan ESF,Card: Yellow,00:01:00,Foolad KHU,Mahdi,Baderlo,Midfield
IPL2014,05,Sepahan ESF,Card: Yellow,00:01:00,Foolad KHU,Yousef,Vakia,Midfield
IPL2014,05,Sepahan ESF,Card: Yellow,00:01:00,Sepahan ESF,Hadi,Aghili,Defender
IPL2014,05,Sepahan ESF,Game Half1 Stop,00:46:00,,,,
IPL2014,05,Sepahan ESF,Game Half2 Start,00:47:00,,,,
IPL2014,05,Sepahan ESF,Player Sub-in,01:02:00,Sepahan ESF,Xhevahir,Sukaj,Forward
IPL2014,05,Sepahan ESF,Player Sub-out,01:02:00,Sepahan ESF,Luciano Pereira,Mendez,Forward
IPL2014,05,Sepahan ESF,Goal,01:03:00,Sepahan ESF,Abdollah,Karami,Defender
IPL2014,05,Sepahan ESF,Player Sub-in,01:09:00,Foolad KHU,Behnam,Mousavi,Goalkeeper
IPL2014,05,Sepahan ESF,Player Sub-out,01:09:00,Foolad KHU,Ahmad,Abdollahzadeh,Midfield
IPL2014,05,Sepahan ESF,Goal,01:14:00,Foolad KHU,Soroush,Rafiei,Midfield
IPL2014,05,Sepahan ESF,Player Sub-in,01:25:00,Foolad KHU,Bahman,Jahantigh,Forward
IPL2014,05,Sepahan ESF,Player Sub-out,01:25:00,Foolad KHU,Yousef,Vakia,Midfield
IPL2014,05,Sepahan ESF,Player Sub-in,01:28:00,Sepahan ESF,Ali,Karimi,Midfield
IPL2014,05,Sepahan ESF,Player Sub-out,01:28:00,Sepahan ESF,Ali,Hamoodi,Defender
IPL2014,05,Sepahan ESF,Game Half2 Stop,01:39:00,,,,
IPL2014,05,Sepahan ESF,Game End,01:40:00,,,,
