Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2014,06,Malavan ANZ,Game Half1 Start,00:00:00,,,,
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Esteghlal KHU,Mohamad,Tayyebi,Defender
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Esteghlal KHU,Mousa Salif,Coulibaly,Defender
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Esteghlal KHU,Mehdi,Momeni,Forward
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Esteghlal KHU,Mohamad,Ousani,Forward
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Esteghlal KHU,Rouhollah,Sayfollahi,Forward
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Esteghlal KHU,Soumbeila,Diakite,Goalkeeper
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Esteghlal KHU,Abdolhadi,Khanifar,Midfield
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Esteghlal KHU,Maysam,Majidi,Midfield
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Esteghlal KHU,Maysam,Doraghi,Midfield
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Esteghlal KHU,Mohamad Reza,Mahdavi,Midfield
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Esteghlal KHU,Reza,Kardoost,Midfield
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Malavan ANZ,Abolhassan,Jafari,Defender
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Malavan ANZ,Ahmad,Ahi,Defender
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Malavan ANZ,Mahyar,Zahmatkesh,Defender
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Malavan ANZ,Mohamad Hossain,Kanaani,Defender
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Malavan ANZ,Alireza,Ramezani,Forward
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Malavan ANZ,Mehrdad,Oladi,Forward
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Malavan ANZ,Mohamad Hadi,Yaghoubi,Forward
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Malavan ANZ,Seyed Jalal,Rafkhaei,Forward
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Malavan ANZ,Hossain,Hossaini,Goalkeeper
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Malavan ANZ,Mohsen,Yousefi,Midfield
IPL2014,06,Malavan ANZ,Player in Line-up,00:00:00,Malavan ANZ,Saeed,Yousefzadeh,Midfield
IPL2014,06,Malavan ANZ,Card: Red,00:01:00,Esteghlal KHU,Soumbeila,Diakite,Goalkeeper
IPL2014,06,Malavan ANZ,Card: Yellow,00:01:00,Esteghlal KHU,Mohamad,Tayyebi,Defender
IPL2014,06,Malavan ANZ,Card: Yellow,00:01:00,Esteghlal KHU,Rouhollah,Sayfollahi,Forward
IPL2014,06,Malavan ANZ,Card: Yellow,00:01:00,Malavan ANZ,Aziz,Maeboudi,Defender
IPL2014,06,Malavan ANZ,Card: Yellow,00:01:00,Malavan ANZ,Hossain,Hossaini,Goalkeeper
IPL2014,06,Malavan ANZ,Goal,00:16:00,Esteghlal KHU,Rouhollah,Sayfollahi,Forward
IPL2014,06,Malavan ANZ,Game Half1 Stop,00:46:00,,,,
IPL2014,06,Malavan ANZ,Player Sub-in,00:46:00,Malavan ANZ,Aziz,Maeboudi,Defender
IPL2014,06,Malavan ANZ,Player Sub-out,00:46:00,Malavan ANZ,Alireza,Ramezani,Forward
IPL2014,06,Malavan ANZ,Game Half2 Start,00:47:00,,,,
IPL2014,06,Malavan ANZ,Player Sub-in,00:54:00,Malavan ANZ,Sadegh,Moharrami,Midfield
IPL2014,06,Malavan ANZ,Player Sub-out,00:54:00,Malavan ANZ,Mohamad Hadi,Yaghoubi,Forward
IPL2014,06,Malavan ANZ,Player Sub-in,01:01:00,Esteghlal KHU,Yazdan,Abbasian,Midfield
IPL2014,06,Malavan ANZ,Player Sub-out,01:01:00,Esteghlal KHU,Mohamad,Ousani,Forward
IPL2014,06,Malavan ANZ,Player Sub-in,01:09:00,Esteghlal KHU,Maysam Parviz,Karimi,Goalkeeper
IPL2014,06,Malavan ANZ,Player Sub-out,01:09:00,Esteghlal KHU,Reza,Kardoost,Midfield
IPL2014,06,Malavan ANZ,Penalty Scored,01:11:00,Malavan ANZ,Seyed Jalal,Rafkhaei,Forward
IPL2014,06,Malavan ANZ,Player Sub-in,01:17:00,Esteghlal KHU,Lamine,Diawara,Forward
IPL2014,06,Malavan ANZ,Player Sub-out,01:17:00,Esteghlal KHU,Mehdi,Momeni,Forward
IPL2014,06,Malavan ANZ,Game Half2 Stop,01:39:00,,,,
IPL2014,06,Malavan ANZ,Game End,01:40:00,,,,
