Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2014,08,Foolad KHU,Game Half1 Start,00:00:00,,,,
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Foolad KHU,Ayoub,Vali,Defender
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Foolad KHU,Leonard,Mesaric,Defender
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Foolad KHU,Mehrdad,Jamaati,Defender
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Foolad KHU,Omid,Khaledi,Defender
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Foolad KHU,Sasan,Ansari,Forward
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Foolad KHU,Alireza,Salimi,Goalkeeper
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Foolad KHU,Ahmad,Abdollahzadeh,Midfield
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Foolad KHU,Esmaeel,Sharifat,Midfield
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Foolad KHU,Mahdi,Baderlo,Midfield
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Foolad KHU,Mathias,Chago,Midfield
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Foolad KHU,Soroush,Rafiei,Midfield
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Gostaresh TBZ,Behnam,Dadashvand,Defender
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Gostaresh TBZ,Mahmoud,Khamisi,Defender
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Gostaresh TBZ,Morteza,Mahfouzi,Defender
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Gostaresh TBZ,Morteza,Asadi,Defender
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Gostaresh TBZ,Paymon,Ranjbari,Forward
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Gostaresh TBZ,Rodrigo,Lopez Odriozola,Goalkeeper
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Gostaresh TBZ,Alireza,Naghizadeh,Midfield
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Gostaresh TBZ,Jaber,Ansari,Midfield
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Gostaresh TBZ,Magno,Batista Da Silva,Midfield
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Gostaresh TBZ,Mohamad Amin,Darvish,Midfield
IPL2014,08,Foolad KHU,Player in Line-up,00:00:00,Gostaresh TBZ,Omid,Nezamipour,Midfield
IPL2014,08,Foolad KHU,Card: Yellow,00:01:00,Foolad KHU,Esmaeel,Sharifat,Midfield
IPL2014,08,Foolad KHU,Card: Yellow,00:01:00,Gostaresh TBZ,Morteza,Asadi,Defender
IPL2014,08,Foolad KHU,Card: Yellow,00:01:00,Gostaresh TBZ,Rodrigo,Lopez Odriozola,Goalkeeper
IPL2014,08,Foolad KHU,Card: Yellow,00:01:00,Gostaresh TBZ,Magno,Batista Da Silva,Midfield
IPL2014,08,Foolad KHU,Game Half1 Stop,00:46:00,,,,
IPL2014,08,Foolad KHU,Game Half2 Start,00:47:00,,,,
IPL2014,08,Foolad KHU,Player Sub-in,01:04:00,Gostaresh TBZ,Milad,Jahani,Midfield
IPL2014,08,Foolad KHU,Player Sub-out,01:04:00,Gostaresh TBZ,Paymon,Ranjbari,Forward
IPL2014,08,Foolad KHU,Player Sub-in,01:06:00,Foolad KHU,Bahman,Kamel,Defender
IPL2014,08,Foolad KHU,Player Sub-in,01:06:00,Foolad KHU,Shahab,Karami,Midfield
IPL2014,08,Foolad KHU,Player Sub-out,01:06:00,Foolad KHU,Sasan,Ansari,Forward
IPL2014,08,Foolad KHU,Player Sub-out,01:06:00,Foolad KHU,Ahmad,Abdollahzadeh,Midfield
IPL2014,08,Foolad KHU,Player Sub-in,01:17:00,Gostaresh TBZ,Alireza,Naghizadeh,Midfield
IPL2014,08,Foolad KHU,Player Sub-out,01:17:00,Gostaresh TBZ,Morteza,Mahfouzi,Defender
IPL2014,08,Foolad KHU,Player Sub-in,01:22:00,Foolad KHU,Ali,Sina Rabbani,Midfield
IPL2014,08,Foolad KHU,Player Sub-out,01:22:00,Foolad KHU,Omid,Khaledi,Defender
IPL2014,08,Foolad KHU,Player Sub-in,01:29:00,Gostaresh TBZ,Mehrdad,Bayrami,Forward
IPL2014,08,Foolad KHU,Player Sub-out,01:29:00,Gostaresh TBZ,Mohamad Amin,Darvish,Midfield
IPL2014,08,Foolad KHU,Penalty Scored,01:34:00,Foolad KHU,Soroush,Rafiei,Midfield
IPL2014,08,Foolad KHU,Game Half2 Stop,01:39:00,,,,
IPL2014,08,Foolad KHU,Game End,01:40:00,,,,
