Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2014,13,Naft MJS,Game Half1 Start,00:00:00,,,,
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Mohamad,Madmalisi,Defender
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Saeed,Salarzadeh,Defender
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Luis Carlos,Dos Santos Martins,Forward
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Milad,Solayman Fallah,Forward
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Milad,Znayadpour,Forward
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Reza,Haydari,Goalkeeper
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Bahador,Abdi,Midfield
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Hamid,Bouhamdan,Midfield
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Milad,Jafari,Midfield
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Reza,Darvishi,Midfield
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Sattar,Deraji,Midfield
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Zobahan ESF,Ali,Hammam,Defender
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Zobahan ESF,Carlos,Santos de Jesus,Defender
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Zobahan ESF,Hadi,Mohamadi,Defender
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Zobahan ESF,Esmaeel,Farhadi,Forward
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Zobahan ESF,Mohamad Rasheed,Mazaheri,Goalkeeper
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Zobahan ESF,Akbar,Imani,Midfield
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Zobahan ESF,Ghasem,Haddadifar,Midfield
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Zobahan ESF,Ghasem,Dehnavi,Midfield
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Zobahan ESF,Mehdi,Rajabzadeh,Midfield
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Zobahan ESF,Mehrdad,Ghanbari,Midfield
IPL2014,13,Naft MJS,Player in Line-up,00:00:00,Zobahan ESF,Mohsen,Mosalman,Midfield
IPL2014,13,Naft MJS,Card: Yellow,00:01:00,Naft MJS,Saeed,Salarzadeh,Defender
IPL2014,13,Naft MJS,Card: Yellow,00:01:00,Naft MJS,Milad,Jafari,Midfield
IPL2014,13,Naft MJS,Card: Yellow,00:01:00,Naft MJS,Reza,Darvishi,Midfield
IPL2014,13,Naft MJS,Card: Yellow,00:01:00,Zobahan ESF,Esmaeel,Farhadi,Forward
IPL2014,13,Naft MJS,Card: Yellow,00:01:00,Zobahan ESF,Ghasem,Haddadifar,Midfield
IPL2014,13,Naft MJS,Card: Yellow,00:01:00,Zobahan ESF,Ghasem,Dehnavi,Midfield
IPL2014,13,Naft MJS,Goal,00:26:00,Zobahan ESF,Esmaeel,Farhadi,Forward
IPL2014,13,Naft MJS,Game Half1 Stop,00:46:00,,,,
IPL2014,13,Naft MJS,Game Half2 Start,00:47:00,,,,
IPL2014,13,Naft MJS,Goal,00:48:00,Naft MJS,Luis Carlos,Dos Santos Martins,Forward
IPL2014,13,Naft MJS,Player Sub-in,01:10:00,Zobahan ESF,Masoud,Hassan Zadeh,Forward
IPL2014,13,Naft MJS,Player Sub-out,01:10:00,Zobahan ESF,Esmaeel,Farhadi,Forward
IPL2014,13,Naft MJS,Player Sub-in,01:15:00,Naft MJS,Ehsan,Alvanzadeh,Forward
IPL2014,13,Naft MJS,Player Sub-out,01:15:00,Naft MJS,Milad,Jafari,Midfield
IPL2014,13,Naft MJS,Player Sub-in,01:16:00,Zobahan ESF,Morteza,Tabrizi,Forward
IPL2014,13,Naft MJS,Player Sub-out,01:16:00,Zobahan ESF,Mohsen,Mosalman,Midfield
IPL2014,13,Naft MJS,Player Sub-in,01:20:00,Naft MJS,Kiomars,Cheraghi,Defender
IPL2014,13,Naft MJS,Player Sub-out,01:20:00,Naft MJS,Milad,Solayman Fallah,Forward
IPL2014,13,Naft MJS,Player Sub-in,01:29:00,Naft MJS,Farzad,Mohamadi,Forward
IPL2014,13,Naft MJS,Player Sub-out,01:29:00,Naft MJS,Luis Carlos,Dos Santos Martins,Forward
IPL2014,13,Naft MJS,Game Half2 Stop,01:39:00,,,,
IPL2014,13,Naft MJS,Game End,01:40:00,,,,
