Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2014,16,Gostaresh TBZ,Game Half1 Start,00:00:00,,,,
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Esteghlal KHU,Mohamad,Tayyebi,Defender
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Esteghlal KHU,Mousa Salif,Coulibaly,Defender
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Esteghlal KHU,Mehdi,Momeni,Forward
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Esteghlal KHU,Mohamad,Ousani,Forward
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Esteghlal KHU,Seyed Mehdi,Seyed Salehi,Forward
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Esteghlal KHU,Soumbeila,Diakite,Goalkeeper
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Esteghlal KHU,Abdolhadi,Khanifar,Midfield
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Esteghlal KHU,Hamdollah,Ebdam,Midfield
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Esteghlal KHU,Maysam,Majidi,Midfield
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Esteghlal KHU,Maysam,Doraghi,Midfield
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Esteghlal KHU,Mohamad Reza,Mahdavi,Midfield
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Behnam,Dadashvand,Defender
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Mohamad,Mokhtari,Defender
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Morteza,Asadi,Defender
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Mohamad,Ebrahimi,Forward
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Rodrigo,Lopez Odriozola,Goalkeeper
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Alireza,Naghizadeh,Midfield
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Jaber,Ansari,Midfield
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Magno,Batista Da Silva,Midfield
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Mohamad Amin,Darvish,Midfield
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Omid,Nezamipour,Midfield
IPL2014,16,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Rasool,Pirzadeh,Midfield
IPL2014,16,Gostaresh TBZ,Card: Yellow,00:01:00,Esteghlal KHU,Rouhollah,Sayfollahi,Forward
IPL2014,16,Gostaresh TBZ,Card: Yellow,00:01:00,Esteghlal KHU,Soumbeila,Diakite,Goalkeeper
IPL2014,16,Gostaresh TBZ,Card: Yellow,00:01:00,Esteghlal KHU,Maysam,Majidi,Midfield
IPL2014,16,Gostaresh TBZ,Card: Yellow,00:01:00,Gostaresh TBZ,Magno,Batista Da Silva,Midfield
IPL2014,16,Gostaresh TBZ,Goal,00:23:00,Gostaresh TBZ,Mohamad,Ebrahimi,Forward
IPL2014,16,Gostaresh TBZ,Game Half1 Stop,00:46:00,,,,
IPL2014,16,Gostaresh TBZ,Game Half2 Start,00:47:00,,,,
IPL2014,16,Gostaresh TBZ,Goal,00:48:00,Esteghlal KHU,Seyed Mehdi,Seyed Salehi,Forward
IPL2014,16,Gostaresh TBZ,Player Sub-in,00:51:00,Esteghlal KHU,Maysam,Baoo,Midfield
IPL2014,16,Gostaresh TBZ,Player Sub-out,00:51:00,Esteghlal KHU,Hamdollah,Ebdam,Midfield
IPL2014,16,Gostaresh TBZ,Player Sub-in,00:56:00,Gostaresh TBZ,Leonardo,Pimenta,Forward
IPL2014,16,Gostaresh TBZ,Player Sub-out,00:56:00,Gostaresh TBZ,Rasool,Pirzadeh,Midfield
IPL2014,16,Gostaresh TBZ,Goal,01:01:00,Gostaresh TBZ,Leonardo,Pimenta,Forward
IPL2014,16,Gostaresh TBZ,Player Sub-in,01:05:00,Esteghlal KHU,Rouhollah,Sayfollahi,Forward
IPL2014,16,Gostaresh TBZ,Player Sub-out,01:05:00,Esteghlal KHU,Mohamad,Ousani,Forward
IPL2014,16,Gostaresh TBZ,Goal,01:10:00,Esteghlal KHU,Maysam,Majidi,Midfield
IPL2014,16,Gostaresh TBZ,Player Sub-in,01:15:00,Esteghlal KHU,Mohamad Ebrahim,Khosravi,Defender
IPL2014,16,Gostaresh TBZ,Player Sub-out,01:15:00,Esteghlal KHU,Mohamad Reza,Mahdavi,Midfield
IPL2014,16,Gostaresh TBZ,Player Sub-in,01:21:00,Gostaresh TBZ,Mohsen,Bayatinia,Forward
IPL2014,16,Gostaresh TBZ,Player Sub-in,01:21:00,Gostaresh TBZ,Alireza,Naghizadeh,Midfield
IPL2014,16,Gostaresh TBZ,Player Sub-out,01:21:00,Gostaresh TBZ,Alireza,Naghizadeh,Midfield
IPL2014,16,Gostaresh TBZ,Player Sub-out,01:21:00,Gostaresh TBZ,Mohamad Amin,Darvish,Midfield
IPL2014,16,Gostaresh TBZ,Game Half2 Stop,01:39:00,,,,
IPL2014,16,Gostaresh TBZ,Game End,01:40:00,,,,
