Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2014,20,Saba QOM,Game Half1 Start,00:00:00,,,,
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Saba QOM,Farshid,Bagheri,Defender
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Saba QOM,Mohamad,Aramtabe,Defender
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Saba QOM,Vahid,Aliabadi,Defender
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Saba QOM,Ali,Ghorbani,Forward
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Saba QOM,Mohamad,Ousani,Forward
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Saba QOM,Mehrdad,Tahmasbi,Goalkeeper
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Saba QOM,Abolfazl,Ebrahimi,Midfield
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Saba QOM,Ayoub,Kalantari,Midfield
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Saba QOM,Hossain,Kooshki,Midfield
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Saba QOM,Hossain,Badamaki,Midfield
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Saba QOM,Saeed,Mehdipour,Midfield
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Teraktor TBZ,Habib,Gordani,Defender
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Teraktor TBZ,Khaled,Shafiei,Defender
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Teraktor TBZ,Mir Hani,Hashemi,Defender
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Teraktor TBZ,Luciano,Edinho,Forward
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Teraktor TBZ,Shahin,Saghebi,Forward
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Teraktor TBZ,Issa,Ndoye,Goalkeeper
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Teraktor TBZ,Ahmad,Kamdar,Midfield
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Teraktor TBZ,Andranik,Taymorian,Midfield
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Teraktor TBZ,Fardin,Abedini,Midfield
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Teraktor TBZ,Mahdi,Kiani,Midfield
IPL2014,20,Saba QOM,Player in Line-up,00:00:00,Teraktor TBZ,Saman,Nariman Jahan,Midfield
IPL2014,20,Saba QOM,Card: Yellow,00:01:00,Saba QOM,Ayoub,Kalantari,Midfield
IPL2014,20,Saba QOM,Card: Yellow,00:01:00,Saba QOM,Hossain,Badamaki,Midfield
IPL2014,20,Saba QOM,Card: Yellow,00:01:00,Saba QOM,Saeed,Mehdipour,Midfield
IPL2014,20,Saba QOM,Card: Yellow,00:01:00,Teraktor TBZ,Khaled,Shafiei,Defender
IPL2014,20,Saba QOM,Card: Yellow,00:01:00,Teraktor TBZ,Ahmad,Kamdar,Midfield
IPL2014,20,Saba QOM,Goal,00:23:00,Teraktor TBZ,Saman,Nariman Jahan,Midfield
IPL2014,20,Saba QOM,Penalty Scored,00:36:00,Teraktor TBZ,Luciano,Edinho,Forward
IPL2014,20,Saba QOM,Game Half1 Stop,00:46:00,,,,
IPL2014,20,Saba QOM,Game Half2 Start,00:47:00,,,,
IPL2014,20,Saba QOM,Player Sub-in,00:58:00,Teraktor TBZ,Farshad,Ahmadzadeh,Forward
IPL2014,20,Saba QOM,Player Sub-out,00:58:00,Teraktor TBZ,Ahmad,Kamdar,Midfield
IPL2014,20,Saba QOM,Goal,01:00:00,Saba QOM,Hossain,Badamaki,Midfield
IPL2014,20,Saba QOM,Goal,01:06:00,Teraktor TBZ,Andranik,Taymorian,Midfield
IPL2014,20,Saba QOM,Goal,01:08:00,Saba QOM,Hossain,Badamaki,Midfield
IPL2014,20,Saba QOM,Player Sub-in,01:09:00,Saba QOM,Mohamad,Heydari,Midfield
IPL2014,20,Saba QOM,Player Sub-out,01:09:00,Saba QOM,Abolfazl,Ebrahimi,Midfield
IPL2014,20,Saba QOM,Player Sub-in,01:11:00,Teraktor TBZ,Mehrdad,Bayrami,Forward
IPL2014,20,Saba QOM,Player Sub-out,01:11:00,Teraktor TBZ,Fardin,Abedini,Midfield
IPL2014,20,Saba QOM,Player Sub-in,01:23:00,Teraktor TBZ,Farid,Karimi,Forward
IPL2014,20,Saba QOM,Player Sub-out,01:23:00,Teraktor TBZ,Saman,Nariman Jahan,Midfield
IPL2014,20,Saba QOM,Player Sub-in,01:24:00,Saba QOM,Ghassem,Akbari,Forward
IPL2014,20,Saba QOM,Player Sub-out,01:24:00,Saba QOM,Mohamad,Ousani,Forward
IPL2014,20,Saba QOM,Player Sub-in,01:29:00,Saba QOM,Hadi,Shakoori,Defender
IPL2014,20,Saba QOM,Player Sub-out,01:29:00,Saba QOM,Farshid,Bagheri,Defender
IPL2014,20,Saba QOM,Game Half2 Stop,01:39:00,,,,
IPL2014,20,Saba QOM,Game End,01:40:00,,,,
