Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2015,02,Naft TEH,Game Half1 Start,00:00:00,,,,
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Carlos,Santos,Defender
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Saeed,Lotfi,Defender
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Seyed Jalal,Hossaini,Defender
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Vahid,Hamdinejad,Defender
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Amir Arsalan,Mottahari,Forward
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Alireza,Bayranvand,Goalkeeper
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Alireza,Ezzat Keramat,Midfield
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Arash,Rezavand,Midfield
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Iman,Mobali,Midfield
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Mehdi,Momeni,Midfield
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Vahid,Amiri,Midfield
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Saba QOM,Filipe,Machado,Defender
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Saba QOM,Masoud,Hahgjoo,Defender
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Saba QOM,Jallaledin,Alimohamadi,Forward
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Saba QOM,Mohamad,Ghazi,Forward
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Saba QOM,Mohamad,Ousani,Forward
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Saba QOM,Hamed,Lak,Goalkeeper
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Saba QOM,Abolfazl,Ebrahimi,Midfield
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Saba QOM,Akbar,Sadeghi,Midfield
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Saba QOM,Ghasem,Dehnavi,Midfield
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Saba QOM,Hashem,Bayk Zadeh,Midfield
IPL2015,02,Naft TEH,Player in Line-up,00:00:00,Saba QOM,Reza,Haghighi,Midfield
IPL2015,02,Naft TEH,Card: Yellow,00:01:00,Naft TEH,Arash,Rezavand,Midfield
IPL2015,02,Naft TEH,Card: Yellow,00:01:00,Saba QOM,Mohamad,Ousani,Forward
IPL2015,02,Naft TEH,Card: Yellow,00:01:00,Saba QOM,Hamed,Lak,Goalkeeper
IPL2015,02,Naft TEH,Goal,00:02:00,Saba QOM,Jallaledin,Alimohamadi,Forward
IPL2015,02,Naft TEH,Player Sub-in,00:34:00,Naft TEH,Eissa,Ale Kaseer,Forward
IPL2015,02,Naft TEH,Player Sub-out,00:34:00,Naft TEH,Amir Arsalan,Mottahari,Forward
IPL2015,02,Naft TEH,Game Half1 Stop,00:46:00,,,,
IPL2015,02,Naft TEH,Game Half2 Start,00:47:00,,,,
IPL2015,02,Naft TEH,Player Sub-in,01:00:00,Naft TEH,Payam,Sadeghian,Midfield
IPL2015,02,Naft TEH,Player Sub-out,01:00:00,Naft TEH,Mehdi,Momeni,Midfield
IPL2015,02,Naft TEH,Player Sub-in,01:05:00,Saba QOM,Farshid,Bagheri,Defender
IPL2015,02,Naft TEH,Player Sub-out,01:05:00,Saba QOM,Reza,Haghighi,Midfield
IPL2015,02,Naft TEH,Player Sub-in,01:10:00,Saba QOM,Mohamad Amin,Aramtabe,Defender
IPL2015,02,Naft TEH,Player Sub-out,01:10:00,Saba QOM,Mohamad,Ousani,Forward
IPL2015,02,Naft TEH,Player Sub-in,01:16:00,Naft TEH,Abbas,Bouazar,Midfield
IPL2015,02,Naft TEH,Player Sub-out,01:16:00,Naft TEH,Arash,Rezavand,Midfield
IPL2015,02,Naft TEH,Goal,01:21:00,Naft TEH,Abbas,Bouazar,Midfield
IPL2015,02,Naft TEH,Player Sub-in,01:29:00,Saba QOM,Saman,Aghazamani,Midfield
IPL2015,02,Naft TEH,Player Sub-out,01:29:00,Saba QOM,Ghasem,Dehnavi,Midfield
IPL2015,02,Naft TEH,Game Half2 Stop,01:39:00,,,,
IPL2015,02,Naft TEH,Game End,01:40:00,,,,
