Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2015,03,Saipa ALB,Game Half1 Start,00:00:00,,,,
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Padideh MSH,Igor,Prahic,Defender
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Padideh MSH,Karim,Ahmadi,Defender
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Padideh MSH,Masoud,Nazarzadeh,Defender
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Padideh MSH,Mohamad Hossain,Moradmand,Defender
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Padideh MSH,Younes,Shakeri,Forward
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Padideh MSH,Mojtaba,Roshangar,Goalkeeper
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Padideh MSH,Abolhassan,Jafari,Midfield
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Padideh MSH,Hossain,Badamaki,Midfield
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Padideh MSH,Mehdi,Khayri,Midfield
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Padideh MSH,Mohamad Reza,Nasehi,Midfield
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Padideh MSH,Mohsen,Yousefi,Midfield
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Ebrahim,Shakoori,Defender
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Sajjad,Moshkelpour,Defender
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Vahid,Esmaeel Baygi,Defender
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Vahid,Mohamad Zadeh,Defender
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Gholamreza,Rezaei,Forward
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Hamed,Fallahzadeh,Goalkeeper
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Ebrahim,Sadeghi,Midfield
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Javad,Nekonam,Midfield
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Masoud,Ebrahimzadeh,Midfield
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Milad,Maydavoodi,Midfield
IPL2015,03,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Roozbeh,Shah Alidoost,Midfield
IPL2015,03,Saipa ALB,Card: Yellow,00:01:00,Padideh MSH,Igor,Prahic,Defender
IPL2015,03,Saipa ALB,Goal,00:13:00,Saipa ALB,Gholamreza,Rezaei,Forward
IPL2015,03,Saipa ALB,Game Half1 Stop,00:46:00,,,,
IPL2015,03,Saipa ALB,Game Half2 Start,00:47:00,,,,
IPL2015,03,Saipa ALB,Player Sub-in,00:53:00,Saipa ALB,Hamed,Shiri,Defender
IPL2015,03,Saipa ALB,Player Sub-out,00:53:00,Saipa ALB,Vahid,Esmaeel Baygi,Defender
IPL2015,03,Saipa ALB,Player Sub-in,00:57:00,Saipa ALB,Mahdi,Torabi,Defender
IPL2015,03,Saipa ALB,Player Sub-out,00:57:00,Saipa ALB,Milad,Maydavoodi,Midfield
IPL2015,03,Saipa ALB,Player Sub-in,01:01:00,Padideh MSH,Milad,Gharibi,Forward
IPL2015,03,Saipa ALB,Player Sub-out,01:01:00,Padideh MSH,Mohsen,Yousefi,Midfield
IPL2015,03,Saipa ALB,Goal,01:07:00,Saipa ALB,Gholamreza,Rezaei,Forward
IPL2015,03,Saipa ALB,Player Sub-in,01:09:00,Padideh MSH,Moein,Abbasian,Midfield
IPL2015,03,Saipa ALB,Player Sub-out,01:09:00,Padideh MSH,Mohamad Reza,Nasehi,Midfield
IPL2015,03,Saipa ALB,"Goal, Own",01:22:00,Padideh MSH,Hamed,Shiri,Defender
IPL2015,03,Saipa ALB,Player Sub-in,01:25:00,Padideh MSH,Mehrdad,Rezaei,Forward
IPL2015,03,Saipa ALB,Player Sub-in,01:25:00,Saipa ALB,Ali,Zaynali,Defender
IPL2015,03,Saipa ALB,Player Sub-out,01:25:00,Padideh MSH,Abolhassan,Jafari,Midfield
IPL2015,03,Saipa ALB,Player Sub-out,01:25:00,Saipa ALB,Masoud,Ebrahimzadeh,Midfield
IPL2015,03,Saipa ALB,Game Half2 Stop,01:39:00,,,,
IPL2015,03,Saipa ALB,Game End,01:40:00,,,,
