Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2015,13,Rahahan TEH,Game Half1 Start,00:00:00,,,,
IPL2015,13,Rahahan TEH,Player in Line-up,00:00:00,Esteghlal KHU,Aghil,Kabi,Defender
IPL2015,13,Rahahan TEH,Player in Line-up,00:00:00,Esteghlal KHU,Danial,Mahini,Defender
IPL2015,13,Rahahan TEH,Player in Line-up,00:00:00,Esteghlal KHU,Mohamad,Tayyebi,Defender
IPL2015,13,Rahahan TEH,Player in Line-up,00:00:00,Esteghlal KHU,Mousa Salif,Coulibaly,Defender
IPL2015,13,Rahahan TEH,Player in Line-up,00:00:00,Esteghlal KHU,Paymon,Shirzadi,Defender
IPL2015,13,Rahahan TEH,Player in Line-up,00:00:00,Esteghlal KHU,Hakeem,Nassari,Forward
IPL2015,13,Rahahan TEH,Player in Line-up,00:00:00,Esteghlal KHU,Raheem,Zahivi,Forward
IPL2015,13,Rahahan TEH,Player in Line-up,00:00:00,Esteghlal KHU,Fernando Jesus,Riberio,Goalkeeper
IPL2015,13,Rahahan TEH,Player in Line-up,00:00:00,Esteghlal KHU,Hassan,Bait Saeed,Midfield
IPL2015,13,Rahahan TEH,Player in Line-up,00:00:00,Esteghlal KHU,Mahdi,Zobaydi,Midfield
IPL2015,13,Rahahan TEH,Player in Line-up,00:00:00,Esteghlal KHU,Maysam,Doraghi,Midfield
IPL2015,13,Rahahan TEH,Player in Line-up,00:00:00,Rahahan TEH,Ebrahim,Karimi,Defender
IPL2015,13,Rahahan TEH,Player in Line-up,00:00:00,Rahahan TEH,Hadi,Mohamadi,Defender
IPL2015,13,Rahahan TEH,Player in Line-up,00:00:00,Rahahan TEH,Hamid,Deevsalar,Defender
IPL2015,13,Rahahan TEH,Player in Line-up,00:00:00,Rahahan TEH,Amin,Manouchehri,Forward
IPL2015,13,Rahahan TEH,Player in Line-up,00:00:00,Rahahan TEH,Bahador,Abdi,Forward
IPL2015,13,Rahahan TEH,Player in Line-up,00:00:00,Rahahan TEH,Hossain,Khayri,Forward
IPL2015,13,Rahahan TEH,Player in Line-up,00:00:00,Rahahan TEH,Igor,Nenezic,Goalkeeper
IPL2015,13,Rahahan TEH,Player in Line-up,00:00:00,Rahahan TEH,Sebastian,Strandvall,Midfield
IPL2015,13,Rahahan TEH,Player in Line-up,00:00:00,Rahahan TEH,Siamak,Koohnavard,Midfield
IPL2015,13,Rahahan TEH,Card: Yellow,00:01:00,Esteghlal KHU,Raheem,Zahivi,Forward
IPL2015,13,Rahahan TEH,Card: Yellow,00:01:00,Rahahan TEH,Sebastian,Strandvall,Midfield
IPL2015,13,Rahahan TEH,Game Half1 Stop,00:46:00,,,,
IPL2015,13,Rahahan TEH,Game Half2 Start,00:47:00,,,,
IPL2015,13,Rahahan TEH,Player Sub-in,01:05:00,Esteghlal KHU,Farshad,Jaanfaza,Forward
IPL2015,13,Rahahan TEH,Player Sub-out,01:05:00,Esteghlal KHU,Raheem,Zahivi,Forward
IPL2015,13,Rahahan TEH,Goal,01:12:00,Esteghlal KHU,Mahdi,Zobaydi,Midfield
IPL2015,13,Rahahan TEH,Player Sub-in,01:15:00,Rahahan TEH,Ahmad,Mehdizadeh,Defender
IPL2015,13,Rahahan TEH,Player Sub-out,01:15:00,Rahahan TEH,Ebrahim,Karimi,Defender
IPL2015,13,Rahahan TEH,Player Sub-in,01:21:00,Rahahan TEH,Farshad,Faraji,Forward
IPL2015,13,Rahahan TEH,Player Sub-out,01:21:00,Rahahan TEH,Hossain,Khayri,Forward
IPL2015,13,Rahahan TEH,Player Sub-in,01:24:00,Esteghlal KHU,Rouhollah,Sayfollahi,Forward
IPL2015,13,Rahahan TEH,Player Sub-out,01:24:00,Esteghlal KHU,Mahdi,Zobaydi,Midfield
IPL2015,13,Rahahan TEH,Game Half2 Stop,01:39:00,,,,
IPL2015,13,Rahahan TEH,Game End,01:40:00,,,,
