Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2015,19,Teraktor TBZ,Game Half1 Start,00:00:00,,,,
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Padideh MSH,Ahmad,Alenema,Defender
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Padideh MSH,Karim,Ahmadi,Defender
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Padideh MSH,Masoud,Nazarzadeh,Defender
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Padideh MSH,Mohamad Hossain,Moradmand,Defender
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Padideh MSH,Mojtaba,Roshangar,Goalkeeper
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Padideh MSH,Bahman,Salari,Midfield
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Padideh MSH,Maysam,Naghizadeh,Midfield
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Padideh MSH,Mehdi,Khayri,Midfield
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Padideh MSH,Moein,Abbasian,Midfield
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Padideh MSH,Mohamad Reza,Nasehi,Midfield
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Padideh MSH,Mohsen,Yousefi,Midfield
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Teraktor TBZ,Khaled,Shafiei,Defender
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Teraktor TBZ,Mohamad,Iran Pourian,Defender
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Teraktor TBZ,Shoja,Khalil Zadeh,Defender
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Teraktor TBZ,Aloys,Nong,Forward
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Teraktor TBZ,Mahdi,Sharifi,Forward
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Teraktor TBZ,Shahin,Saghebi,Forward
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Teraktor TBZ,Mohamad Reza,Akhbari,Goalkeeper
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Teraktor TBZ,Augusto Cesar,Dos Santos,Midfield
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Teraktor TBZ,Bakhtiar,Rahmani,Midfield
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Teraktor TBZ,Mahdi,Kiani,Midfield
IPL2015,19,Teraktor TBZ,Player in Line-up,00:00:00,Teraktor TBZ,Saeed,Aghaei,Midfield
IPL2015,19,Teraktor TBZ,Card: Yellow,00:01:00,Padideh MSH,Moein,Abbasian,Midfield
IPL2015,19,Teraktor TBZ,Game Half1 Stop,00:46:00,,,,
IPL2015,19,Teraktor TBZ,Game Half2 Start,00:47:00,,,,
IPL2015,19,Teraktor TBZ,Penalty Scored,00:53:00,Padideh MSH,Mohsen,Yousefi,Midfield
IPL2015,19,Teraktor TBZ,Player Sub-in,00:56:00,Teraktor TBZ,Carlos Alexandre,Cardoso,Defender
IPL2015,19,Teraktor TBZ,Player Sub-out,00:56:00,Teraktor TBZ,Aloys,Nong,Forward
IPL2015,19,Teraktor TBZ,Player Sub-in,00:57:00,Padideh MSH,Fariborz,Gerami,Midfield
IPL2015,19,Teraktor TBZ,Player Sub-out,00:57:00,Padideh MSH,Mohsen,Yousefi,Midfield
IPL2015,19,Teraktor TBZ,Player Sub-in,00:58:00,Teraktor TBZ,Ayoub,Kalantari,Midfield
IPL2015,19,Teraktor TBZ,Player Sub-out,00:58:00,Teraktor TBZ,Shahin,Saghebi,Forward
IPL2015,19,Teraktor TBZ,Penalty Scored,01:06:00,Teraktor TBZ,Mohamad,Iran Pourian,Defender
IPL2015,19,Teraktor TBZ,Goal,01:13:00,Padideh MSH,Fariborz,Gerami,Midfield
IPL2015,19,Teraktor TBZ,Player Sub-in,01:16:00,Padideh MSH,Mohamad Ali,Faramarzi,Midfield
IPL2015,19,Teraktor TBZ,Player Sub-out,01:16:00,Padideh MSH,Mehdi,Khayri,Midfield
IPL2015,19,Teraktor TBZ,Player Sub-in,01:17:00,Teraktor TBZ,Soroush,Rafiei,Midfield
IPL2015,19,Teraktor TBZ,Player Sub-out,01:17:00,Teraktor TBZ,Augusto Cesar,Dos Santos,Midfield
IPL2015,19,Teraktor TBZ,Player Sub-in,01:29:00,Padideh MSH,Mahmoud,Khamisi,Defender
IPL2015,19,Teraktor TBZ,Player Sub-out,01:29:00,Padideh MSH,Bahman,Salari,Midfield
IPL2015,19,Teraktor TBZ,Game Half2 Stop,01:39:00,,,,
IPL2015,19,Teraktor TBZ,Game End,01:40:00,,,,
