Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2015,20,Esteghlal AHV,Game Half1 Start,00:00:00,,,,
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Esteghlal AHV,Maki,Sharifi,Defender
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Esteghlal AHV,Milad,Rabbani,Defender
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Esteghlal AHV,Ali,Helichi,Forward
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Esteghlal AHV,Reza,Bahmaei,Forward
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Esteghlal AHV,Taleb,Reekani,Forward
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Esteghlal AHV,Luiz,Fernando,Goalkeeper
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Esteghlal AHV,Mehdi,Eslami,Goalkeeper
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Esteghlal AHV,Adel,Kolahkaj,Midfield
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Esteghlal AHV,Hamzeh,Khaziravi,Midfield
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Esteghlal AHV,Hossain,Bahrami,Midfield
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Esteghlal AHV,Milad,Paak Parvar,Midfield
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Zobahan ESF,Hadi,Mohamadi,Defender
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Zobahan ESF,Mohamad,Nejad Mehdi,Defender
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Zobahan ESF,Danial,Esmaeelfar,Forward
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Zobahan ESF,Ehsan,Pahlevan,Forward
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Zobahan ESF,Kaveh,Rezaei,Forward
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Zobahan ESF,Morteza,Tabrizi,Forward
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Zobahan ESF,Mohamad Bagher,Sadeghi,Goalkeeper
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Zobahan ESF,Ahmad,Kamdar,Midfield
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Zobahan ESF,Ghasem,Haddadifar,Midfield
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Zobahan ESF,Hashem,Bayk Zadeh,Midfield
IPL2015,20,Esteghlal AHV,Player in Line-up,00:00:00,Zobahan ESF,Mehdi,Rajabzadeh,Midfield
IPL2015,20,Esteghlal AHV,Card: Yellow,00:01:00,Esteghlal AHV,Milad,Paak Parvar,Midfield
IPL2015,20,Esteghlal AHV,Card: Yellow,00:01:00,Zobahan ESF,Ahmad,Kamdar,Midfield
IPL2015,20,Esteghlal AHV,Game Half1 Stop,00:46:00,,,,
IPL2015,20,Esteghlal AHV,Game Half2 Start,00:47:00,,,,
IPL2015,20,Esteghlal AHV,Goal,00:52:00,Zobahan ESF,Kaveh,Rezaei,Forward
IPL2015,20,Esteghlal AHV,Player Sub-in,01:05:00,Esteghlal AHV,Hossain,Saaki,Midfield
IPL2015,20,Esteghlal AHV,Player Sub-out,01:05:00,Esteghlal AHV,Reza,Bahmaei,Forward
IPL2015,20,Esteghlal AHV,Player Sub-in,01:15:00,Zobahan ESF,Marco Aurelio,Iubel,Forward
IPL2015,20,Esteghlal AHV,Player Sub-out,01:15:00,Zobahan ESF,Mehdi,Rajabzadeh,Midfield
IPL2015,20,Esteghlal AHV,Player Sub-in,01:19:00,Zobahan ESF,Mahdi,Mahdipour,Midfield
IPL2015,20,Esteghlal AHV,Player Sub-out,01:19:00,Zobahan ESF,Ghasem,Haddadifar,Midfield
IPL2015,20,Esteghlal AHV,Player Sub-in,01:20:00,Esteghlal AHV,Pedram,Ardalani,Midfield
IPL2015,20,Esteghlal AHV,Player Sub-out,01:20:00,Esteghlal AHV,Maki,Sharifi,Defender
IPL2015,20,Esteghlal AHV,Player Sub-in,01:26:00,Esteghlal AHV,Ali,Bigdeli,Forward
IPL2015,20,Esteghlal AHV,Player Sub-out,01:26:00,Esteghlal AHV,Milad,Paak Parvar,Midfield
IPL2015,20,Esteghlal AHV,Player Sub-in,01:29:00,Zobahan ESF,Mohamad Reza,Hossaini,Midfield
IPL2015,20,Esteghlal AHV,Player Sub-out,01:29:00,Zobahan ESF,Kaveh,Rezaei,Forward
IPL2015,20,Esteghlal AHV,Goal,01:32:00,Esteghlal AHV,Taleb,Reekani,Forward
IPL2015,20,Esteghlal AHV,Game Half2 Stop,01:39:00,,,,
IPL2015,20,Esteghlal AHV,Game End,01:40:00,,,,
