Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2016,02,Esteghlal KHU,Game Half1 Start,00:00:00,,,,
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal KHU,Aghil,Kabi,Defender
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal KHU,Ezzatolah,Pourghaz,Defender
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal KHU,Mohamad,Tayyebi,Defender
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal KHU,Paymon,Shirzadi,Defender
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal KHU,Raheem,Zahivi,Forward
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal KHU,Rafael,Roballo,Goalkeeper
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal KHU,Bahdor,Abdi,Midfield
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal KHU,Farshad,Salarvand,Midfield
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal KHU,Hassan,Bait Saeed,Midfield
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal KHU,Maysam,Doraghi,Midfield
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal KHU,Mehdi,Momeni,Midfield
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal TEH,Hossain,Kanani Zadegan,Defender
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal TEH,Hrayr,Mkoyan,Defender
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal TEH,Januario de Paula,Robson,Defender
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal TEH,Voorya,Ghafoori,Defender
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal TEH,Kaveh,Rezaei,Forward
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal TEH,Seyed Mahdi,Rahmati,Goalkeeper
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal TEH,Bakhtiar,Rahmani,Midfield
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal TEH,Farshid,Bagheri,Midfield
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal TEH,Jaber,Ansari,Midfield
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal TEH,Khosrow,Haydari,Midfield
IPL2016,02,Esteghlal KHU,Player in Line-up,00:00:00,Esteghlal TEH,Omid,Ebrahimi,Midfield
IPL2016,02,Esteghlal KHU,Goal,00:24:00,Esteghlal KHU,Hassan,Bait Saeed,Midfield
IPL2016,02,Esteghlal KHU,Game Half1 Stop,00:46:00,,,,
IPL2016,02,Esteghlal KHU,Game Half2 Start,00:47:00,,,,
IPL2016,02,Esteghlal KHU,Player Sub-in,01:02:00,Esteghlal TEH,Ali,Ghorbani,Forward
IPL2016,02,Esteghlal KHU,Player Sub-out,01:02:00,Esteghlal TEH,Farshid,Bagheri,Midfield
IPL2016,02,Esteghlal KHU,Player Sub-in,01:08:00,Esteghlal KHU,Ali Asghar,Ashouri,Midfield
IPL2016,02,Esteghlal KHU,Player Sub-out,01:08:00,Esteghlal KHU,Farshad,Salarvand,Midfield
IPL2016,02,Esteghlal KHU,Goal,01:18:00,Esteghlal TEH,Kaveh,Rezaei,Forward
IPL2016,02,Esteghlal KHU,Player Sub-in,01:20:00,Esteghlal KHU,Farshad,Jaanfaza,Forward
IPL2016,02,Esteghlal KHU,Player Sub-out,01:20:00,Esteghlal KHU,Paymon,Shirzadi,Defender
IPL2016,02,Esteghlal KHU,Player Sub-in,01:21:00,Esteghlal TEH,Maysam,Majidi,Defender
IPL2016,02,Esteghlal KHU,Player Sub-out,01:21:00,Esteghlal TEH,Hrayr,Mkoyan,Defender
IPL2016,02,Esteghlal KHU,Goal,01:24:00,Esteghlal KHU,Hassan,Bait Saeed,Midfield
IPL2016,02,Esteghlal KHU,Player Sub-in,01:28:00,Esteghlal TEH,Farshid,Esmaeeli,Midfield
IPL2016,02,Esteghlal KHU,Player Sub-out,01:28:00,Esteghlal TEH,Bakhtiar,Rahmani,Midfield
IPL2016,02,Esteghlal KHU,Player Sub-in,01:29:00,Esteghlal KHU,Deyvid Franck Silva,Sacconi,Midfield
IPL2016,02,Esteghlal KHU,Player Sub-out,01:29:00,Esteghlal KHU,Mehdi,Momeni,Midfield
IPL2016,02,Esteghlal KHU,Game Half2 Stop,01:39:00,,,,
IPL2016,02,Esteghlal KHU,Game End,01:40:00,,,,
