Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2016,02,Zobahan ESF,Game Half1 Start,00:00:00,,,,
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Saipa ALB,Lourival Junior,Lopes,Defender
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Saipa ALB,Omid,Khaledi,Defender
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Saipa ALB,Saeed,Lotfi,Defender
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Saipa ALB,Siamak,Kouroshi,Defender
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Saipa ALB,Ali,Gholizadeh,Forward
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Saipa ALB,Gholamreza,Rezaei,Forward
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Saipa ALB,Alessandro Felipe,Oltramari,Goalkeeper
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Saipa ALB,Ahmad,Hassan Zadeh,Midfield
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Saipa ALB,Hamed,Shiri,Midfield
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Saipa ALB,Mahdi,Torabi,Midfield
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Saipa ALB,Roozbeh,Shah Alidoost,Midfield
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Zobahan ESF,Ali,Hammam,Defender
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Zobahan ESF,Danial,Esmaeelfar,Defender
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Zobahan ESF,Mehrdad,Ghanbari,Defender
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Zobahan ESF,Mohamad,Nejad Mehdi,Defender
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Zobahan ESF,Vahid,Mohamad Zadeh,Defender
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Zobahan ESF,Mehdi,Rajabzadeh,Forward
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Zobahan ESF,Mohamad Rasheed,Mazaheri,Goalkeeper
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Zobahan ESF,Ehsan,Pahlevan,Midfield
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Zobahan ESF,Mahdi,Mahdipour,Midfield
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Zobahan ESF,Mohamad Reza,Abbasi,Midfield
IPL2016,02,Zobahan ESF,Player in Line-up,00:00:00,Zobahan ESF,Morteza,Tabrizi,Midfield
IPL2016,02,Zobahan ESF,Card: Yellow,00:01:00,Saipa ALB,Lourival Junior,Lopes,Defender
IPL2016,02,Zobahan ESF,Card: Yellow,00:01:00,Saipa ALB,Alessandro Felipe,Oltramari,Goalkeeper
IPL2016,02,Zobahan ESF,Card: Yellow,00:01:00,Saipa ALB,Mahdi,Torabi,Midfield
IPL2016,02,Zobahan ESF,Card: Yellow,00:01:00,Zobahan ESF,Ali,Hammam,Defender
IPL2016,02,Zobahan ESF,Card: Yellow,00:01:00,Zobahan ESF,Ehsan,Pahlevan,Midfield
IPL2016,02,Zobahan ESF,Game Half1 Stop,00:46:00,,,,
IPL2016,02,Zobahan ESF,Game Half2 Start,00:47:00,,,,
IPL2016,02,Zobahan ESF,Goal,01:03:00,Saipa ALB,Mahdi,Torabi,Midfield
IPL2016,02,Zobahan ESF,Player Sub-in,01:05:00,Zobahan ESF,Mohamad Reza,Hossaini,Midfield
IPL2016,02,Zobahan ESF,Player Sub-out,01:05:00,Zobahan ESF,Danial,Esmaeelfar,Defender
IPL2016,02,Zobahan ESF,Player Sub-in,01:10:00,Zobahan ESF,Jerry Ricardo,Bengston,Forward
IPL2016,02,Zobahan ESF,Player Sub-out,01:10:00,Zobahan ESF,Mohamad Reza,Abbasi,Midfield
IPL2016,02,Zobahan ESF,Player Sub-in,01:18:00,Saipa ALB,Ali,Zaynali,Forward
IPL2016,02,Zobahan ESF,Player Sub-out,01:18:00,Saipa ALB,Ahmad,Hassan Zadeh,Midfield
IPL2016,02,Zobahan ESF,Player Sub-in,01:21:00,Zobahan ESF,Yasser,Fayzi,Forward
IPL2016,02,Zobahan ESF,Player Sub-out,01:21:00,Zobahan ESF,Morteza,Tabrizi,Midfield
IPL2016,02,Zobahan ESF,Player Sub-in,01:24:00,Saipa ALB,Sajjad,Moshkelpour,Defender
IPL2016,02,Zobahan ESF,Player Sub-out,01:24:00,Saipa ALB,Hamed,Shiri,Midfield
IPL2016,02,Zobahan ESF,Goal,01:25:00,Zobahan ESF,Mehdi,Rajabzadeh,Forward
IPL2016,02,Zobahan ESF,Player Sub-in,01:29:00,Saipa ALB,Ebrahim,Sadeghi,Midfield
IPL2016,02,Zobahan ESF,Player Sub-out,01:29:00,Saipa ALB,Ali,Gholizadeh,Forward
IPL2016,02,Zobahan ESF,Game Half2 Stop,01:39:00,,,,
IPL2016,02,Zobahan ESF,Game End,01:40:00,,,,
