Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2016,04,FC Mashhad MSH,Game Half1 Start,00:00:00,,,,
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,FC Mashhad MSH,Alireza,Noormohamadi,Defender
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,FC Mashhad MSH,Maysam,Hossaini,Defender
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,FC Mashhad MSH,Mostafa,Ahmadi,Defender
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,FC Mashhad MSH,Payam,Malekian,Defender
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,FC Mashhad MSH,Morteza,Ranjbar,Forward
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,FC Mashhad MSH,Reza,Darvishi,Forward
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,FC Mashhad MSH,Mohamad,Nasseri,Goalkeeper
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,FC Mashhad MSH,Ayoub,Kalantari,Midfield
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,FC Mashhad MSH,Hamid Reza,Ali Asgari,Midfield
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,FC Mashhad MSH,Reza,Sharbati,Midfield
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,FC Mashhad MSH,Saeed,Moradi,Midfield
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,Foolad KHU,Abdollah,Karami,Defender
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,Foolad KHU,Abdollah,Nasseri,Defender
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,Foolad KHU,Mathias,Chago,Defender
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,Foolad KHU,Mehrdad,Jamaati,Defender
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,Foolad KHU,Yousef,Vakia,Defender
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,Foolad KHU,Bahram,Rashidi Farrokhi,Forward
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,Foolad KHU,Mehrdad,Tahmasbi,Goalkeeper
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,Foolad KHU,Ayoub,Vaali,Midfield
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,Foolad KHU,Hamid,Bouhamdan,Midfield
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,Foolad KHU,Mahmoud,Motlagh Zadeh,Midfield
IPL2016,04,FC Mashhad MSH,Player in Line-up,00:00:00,Foolad KHU,Milad,Badragheh,Midfield
IPL2016,04,FC Mashhad MSH,Card: Yellow,00:01:00,FC Mashhad MSH,Payam,Malekian,Defender
IPL2016,04,FC Mashhad MSH,Card: Yellow,00:01:00,Foolad KHU,Abdollah,Karami,Defender
IPL2016,04,FC Mashhad MSH,Goal,00:13:00,FC Mashhad MSH,Payam,Malekian,Defender
IPL2016,04,FC Mashhad MSH,Player Sub-in,00:33:00,Foolad KHU,Milad,Paak Parvar,Midfield
IPL2016,04,FC Mashhad MSH,Player Sub-out,00:33:00,Foolad KHU,Milad,Badragheh,Midfield
IPL2016,04,FC Mashhad MSH,Game Half1 Stop,00:46:00,,,,
IPL2016,04,FC Mashhad MSH,Game Half2 Start,00:47:00,,,,
IPL2016,04,FC Mashhad MSH,Player Sub-in,01:04:00,FC Mashhad MSH,Hossain,Badamaki,Midfield
IPL2016,04,FC Mashhad MSH,Player Sub-out,01:04:00,FC Mashhad MSH,Reza,Darvishi,Forward
IPL2016,04,FC Mashhad MSH,Player Sub-in,01:07:00,FC Mashhad MSH,Rouhollah,Sayfollahi,Forward
IPL2016,04,FC Mashhad MSH,Player Sub-out,01:07:00,FC Mashhad MSH,Saeed,Moradi,Midfield
IPL2016,04,FC Mashhad MSH,Player Sub-in,01:16:00,Foolad KHU,Hadi,Habibi Nejad,Midfield
IPL2016,04,FC Mashhad MSH,Player Sub-out,01:16:00,Foolad KHU,Mahmoud,Motlagh Zadeh,Midfield
IPL2016,04,FC Mashhad MSH,Player Sub-in,01:22:00,FC Mashhad MSH,Abbas,Asgari,Forward
IPL2016,04,FC Mashhad MSH,Player Sub-out,01:22:00,FC Mashhad MSH,Morteza,Ranjbar,Forward
IPL2016,04,FC Mashhad MSH,Penalty Scored,01:30:00,Foolad KHU,Ayoub,Vaali,Midfield
IPL2016,04,FC Mashhad MSH,Game Half2 Stop,01:39:00,,,,
IPL2016,04,FC Mashhad MSH,Game End,01:40:00,,,,
