Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2016,04,Perspolis TEH,Game Half1 Start,00:00:00,,,,
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Perspolis TEH,Hossain,Mahini,Defender
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Perspolis TEH,Seyed Jalal,Hossaini,Defender
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Perspolis TEH,Farshad,Ahmadzadeh,Forward
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Perspolis TEH,Mahdi,Taremi,Forward
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Perspolis TEH,Alireza,Bayranvand,Goalkeeper
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Perspolis TEH,Kamal,Kamyabinia,Midfield
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Perspolis TEH,Mohamad,Ansari,Midfield
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Perspolis TEH,Mohsen,Mosalman,Midfield
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Perspolis TEH,Mohsen,Rabikhah,Midfield
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Perspolis TEH,Omid,Allishah,Midfield
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Perspolis TEH,Vahid,Amiri,Midfield
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Saba QOM,Hamid Reza,Deevsalar,Defender
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Saba QOM,Hashem,Bayk Zadeh,Defender
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Saba QOM,Masoud,Hahgjoo,Defender
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Saba QOM,Pooya,Safepanahi,Defender
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Saba QOM,Abdolkarim,Eslami,Forward
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Saba QOM,Gholamreza,Enayati,Forward
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Saba QOM,Kayvon,Amraei,Forward
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Saba QOM,Hamed,Lak,Goalkeeper
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Saba QOM,Ghasem,Dehnavi,Midfield
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Saba QOM,Seyed Mehdi,Hossaini,Midfield
IPL2016,04,Perspolis TEH,Player in Line-up,00:00:00,Saba QOM,Vahid,Aliabadi,Midfield
IPL2016,04,Perspolis TEH,Card: Yellow,00:01:00,Perspolis TEH,Mohamad,Ansari,Midfield
IPL2016,04,Perspolis TEH,Card: Yellow,00:01:00,Saba QOM,Pooya,Safepanahi,Defender
IPL2016,04,Perspolis TEH,Goal,00:40:00,Perspolis TEH,Mahdi,Taremi,Forward
IPL2016,04,Perspolis TEH,Game Half1 Stop,00:46:00,,,,
IPL2016,04,Perspolis TEH,Game Half2 Start,00:47:00,,,,
IPL2016,04,Perspolis TEH,Player Sub-in,01:04:00,Perspolis TEH,Ali,Alipour,Forward
IPL2016,04,Perspolis TEH,Player Sub-out,01:04:00,Perspolis TEH,Mahdi,Taremi,Forward
IPL2016,04,Perspolis TEH,Player Sub-in,01:09:00,Saba QOM,Ahmad,Hassan Zadeh,Midfield
IPL2016,04,Perspolis TEH,Player Sub-out,01:09:00,Saba QOM,Masoud,Hahgjoo,Defender
IPL2016,04,Perspolis TEH,Player Sub-in,01:12:00,Perspolis TEH,Mohamad,Ansari,Midfield
IPL2016,04,Perspolis TEH,Player Sub-out,01:12:00,Perspolis TEH,Vahid,Amiri,Midfield
IPL2016,04,Perspolis TEH,Player Sub-in,01:20:00,Saba QOM,Omid,Jahanbakhshi,Midfield
IPL2016,04,Perspolis TEH,Player Sub-out,01:20:00,Saba QOM,Gholamreza,Enayati,Forward
IPL2016,04,Perspolis TEH,Player Sub-in,01:21:00,Perspolis TEH,Ahmad,Nooroullahi,Midfield
IPL2016,04,Perspolis TEH,Player Sub-out,01:21:00,Perspolis TEH,Omid,Allishah,Midfield
IPL2016,04,Perspolis TEH,Player Sub-in,01:26:00,Saba QOM,Seyed Ali,Fatemi,Midfield
IPL2016,04,Perspolis TEH,Player Sub-out,01:26:00,Saba QOM,Kayvon,Amraei,Forward
IPL2016,04,Perspolis TEH,Game Half2 Stop,01:39:00,,,,
IPL2016,04,Perspolis TEH,Game End,01:40:00,,,,
