Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2016,07,Esteghlal TEH,Game Half1 Start,00:00:00,,,,
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Esteghlal TEH,Januario de Paula,Robson,Defender
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Esteghlal TEH,Voorya,Ghafoori,Defender
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Esteghlal TEH,Ali,Ghorbani,Forward
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Esteghlal TEH,Kaveh,Rezaei,Forward
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Esteghlal TEH,Hossain,Hossaini,Goalkeeper
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Esteghlal TEH,Seyed Mahdi,Rahmati,Goalkeeper
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Esteghlal TEH,Amir Hossain,Karimi,Midfield
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Esteghlal TEH,Bakhtiar,Rahmani,Midfield
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Esteghlal TEH,Farshid,Esmaeeli,Midfield
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Esteghlal TEH,Khosrow,Haydari,Midfield
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Esteghlal TEH,Omid,Ebrahimi,Midfield
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Zobahan ESF,Ali,Hammam,Defender
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Zobahan ESF,Mehrdad,Ghanbari,Defender
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Zobahan ESF,Mohamad,Sattari,Defender
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Zobahan ESF,Mohamad,Nejad Mehdi,Defender
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Zobahan ESF,Vahid,Mohamad Zadeh,Defender
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Zobahan ESF,Jerry Ricardo,Bengston,Forward
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Zobahan ESF,Hamid,Erfani,Goalkeeper
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Zobahan ESF,Ehsan,Pahlevan,Midfield
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Zobahan ESF,Mahdi,Mahdipour,Midfield
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Zobahan ESF,Mohamad Reza,Hossaini,Midfield
IPL2016,07,Esteghlal TEH,Player in Line-up,00:00:00,Zobahan ESF,Morteza,Tabrizi,Midfield
IPL2016,07,Esteghlal TEH,Card: Yellow,00:01:00,Esteghlal TEH,Kaveh,Rezaei,Forward
IPL2016,07,Esteghlal TEH,Card: Yellow,00:01:00,Zobahan ESF,Mohamad Reza,Hossaini,Midfield
IPL2016,07,Esteghlal TEH,Penalty Scored,00:43:00,Esteghlal TEH,Omid,Ebrahimi,Midfield
IPL2016,07,Esteghlal TEH,Game Half1 Stop,00:46:00,,,,
IPL2016,07,Esteghlal TEH,Game Half2 Start,00:47:00,,,,
IPL2016,07,Esteghlal TEH,Goal,00:50:00,Esteghlal TEH,Ali,Ghorbani,Forward
IPL2016,07,Esteghlal TEH,Player Sub-in,00:59:00,Zobahan ESF,Mohamad Reza,Abbasi,Midfield
IPL2016,07,Esteghlal TEH,Player Sub-out,00:59:00,Zobahan ESF,Mohamad,Sattari,Defender
IPL2016,07,Esteghlal TEH,Goal,01:06:00,Zobahan ESF,Morteza,Tabrizi,Midfield
IPL2016,07,Esteghlal TEH,Player Sub-in,01:13:00,Zobahan ESF,Yasser,Fayzi,Forward
IPL2016,07,Esteghlal TEH,Player Sub-out,01:13:00,Zobahan ESF,Jerry Ricardo,Bengston,Forward
IPL2016,07,Esteghlal TEH,Player Sub-in,01:14:00,Esteghlal TEH,Farshid,Bagheri,Midfield
IPL2016,07,Esteghlal TEH,Player Sub-out,01:14:00,Esteghlal TEH,Ali,Ghorbani,Forward
IPL2016,07,Esteghlal TEH,Player Sub-in,01:18:00,Zobahan ESF,Danial,Esmaeelfar,Defender
IPL2016,07,Esteghlal TEH,Player Sub-out,01:18:00,Zobahan ESF,Mohamad,Nejad Mehdi,Defender
IPL2016,07,Esteghlal TEH,Player Sub-in,01:27:00,Esteghlal TEH,Jaber,Ansari,Midfield
IPL2016,07,Esteghlal TEH,Player Sub-out,01:27:00,Esteghlal TEH,Kaveh,Rezaei,Forward
IPL2016,07,Esteghlal TEH,Player Sub-in,01:29:00,Esteghlal TEH,Leandro,Padovani,Defender
IPL2016,07,Esteghlal TEH,Player Sub-out,01:29:00,Esteghlal TEH,Khosrow,Haydari,Midfield
IPL2016,07,Esteghlal TEH,Game Half2 Stop,01:39:00,,,,
IPL2016,07,Esteghlal TEH,Game End,01:40:00,,,,
