Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2016,16,Mashin Sazi TBZ,Game Half1 Start,00:00:00,,,,
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Foolad KHU,Abdollah,Karami,Defender
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Foolad KHU,Mathias,Chago,Defender
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Foolad KHU,Soroush,Saeedi,Defender
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Foolad KHU,Sasan,Ansari,Forward
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Foolad KHU,Vahid,Taleblou,Goalkeeper
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Foolad KHU,Ahmad,Abdollahzadeh,Midfield
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Foolad KHU,Ayoub,Vaali,Midfield
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Foolad KHU,Esmaeel,Sharifat,Midfield
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Foolad KHU,Hamid,Bouhamdan,Midfield
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Foolad KHU,Mahmoud,Motlagh Zadeh,Midfield
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Foolad KHU,Sina,Maridi,Midfield
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Mashin Sazi TBZ,Bahman,Kamel,Defender
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Mashin Sazi TBZ,Fardin,Abedini,Defender
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Mashin Sazi TBZ,Habib,Gordani,Defender
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Mashin Sazi TBZ,Henrique,Edson Da Silva,Defender
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Mashin Sazi TBZ,Amin,Ghaseminejad,Forward
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Mashin Sazi TBZ,Manuel Fernandez,Muniz,Goalkeeper
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Mashin Sazi TBZ,Ahmad,Kamdar,Midfield
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Mashin Sazi TBZ,Hamid Reza,Ali Asgari,Midfield
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Mashin Sazi TBZ,Khakhi,Kakashvili,Midfield
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Mashin Sazi TBZ,Payam,Sadeghian,Midfield
IPL2016,16,Mashin Sazi TBZ,Player in Line-up,00:00:00,Mashin Sazi TBZ,Saeed,Ghaedifar,Midfield
IPL2016,16,Mashin Sazi TBZ,Card: Yellow,00:01:00,Mashin Sazi TBZ,Habib,Gordani,Defender
IPL2016,16,Mashin Sazi TBZ,Card: Yellow,00:01:00,Mashin Sazi TBZ,Ahmad,Kamdar,Midfield
IPL2016,16,Mashin Sazi TBZ,Card: Yellow,00:01:00,Mashin Sazi TBZ,Payam,Sadeghian,Midfield
IPL2016,16,Mashin Sazi TBZ,Game Half1 Stop,00:46:00,,,,
IPL2016,16,Mashin Sazi TBZ,Game Half2 Start,00:47:00,,,,
IPL2016,16,Mashin Sazi TBZ,Player Sub-in,01:05:00,Mashin Sazi TBZ,Shahab,Zahedi,Forward
IPL2016,16,Mashin Sazi TBZ,Player Sub-out,01:05:00,Mashin Sazi TBZ,Saeed,Ghaedifar,Midfield
IPL2016,16,Mashin Sazi TBZ,Player Sub-in,01:13:00,Mashin Sazi TBZ,Andranik,Taymorian,Midfield
IPL2016,16,Mashin Sazi TBZ,Player Sub-out,01:13:00,Mashin Sazi TBZ,Hamid Reza,Ali Asgari,Midfield
IPL2016,16,Mashin Sazi TBZ,Player Sub-in,01:15:00,Foolad KHU,Ernest Webnje,Nfor,Forward
IPL2016,16,Mashin Sazi TBZ,Player Sub-out,01:15:00,Foolad KHU,Mathias,Chago,Defender
IPL2016,16,Mashin Sazi TBZ,Player Sub-in,01:24:00,Foolad KHU,Abdollah,Nasseri,Defender
IPL2016,16,Mashin Sazi TBZ,Player Sub-in,01:24:00,Mashin Sazi TBZ,Hamed,Pakdel,Midfield
IPL2016,16,Mashin Sazi TBZ,Player Sub-out,01:24:00,Foolad KHU,Mahmoud,Motlagh Zadeh,Midfield
IPL2016,16,Mashin Sazi TBZ,Player Sub-out,01:24:00,Mashin Sazi TBZ,Amin,Ghaseminejad,Forward
IPL2016,16,Mashin Sazi TBZ,Player Sub-in,01:25:00,Foolad KHU,Milad,Paak Parvar,Midfield
IPL2016,16,Mashin Sazi TBZ,Player Sub-out,01:25:00,Foolad KHU,Esmaeel,Sharifat,Midfield
IPL2016,16,Mashin Sazi TBZ,Game Half2 Stop,01:39:00,,,,
IPL2016,16,Mashin Sazi TBZ,Game End,01:40:00,,,,
