Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2016,23,Padideh MSH,Game Half1 Start,00:00:00,,,,
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Gostaresh TBZ,Babak,Hatami,Defender
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Gostaresh TBZ,Morteza,Asadi,Defender
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Gostaresh TBZ,Seyed Mohsen,Hossaini,Defender
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Gostaresh TBZ,Dariush,Shojaeian,Forward
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Gostaresh TBZ,Luciano Pereira,Mendes,Forward
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Gostaresh TBZ,Masoud,Ebrahimzadeh,Forward
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Gostaresh TBZ,Yousef,Seyedi,Forward
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Gostaresh TBZ,Fernando Jesus,Riberio,Goalkeeper
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Gostaresh TBZ,Alireza,Naghizadeh,Midfield
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Gostaresh TBZ,Magno,Batista Da Silva,Midfield
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Gostaresh TBZ,Reza,Khaleghifar,Midfield
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Padideh MSH,Abolhassan,Jafari,Defender
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Padideh MSH,Moein,Abbasian,Defender
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Padideh MSH,Seyed Abdollah,Hossaini,Defender
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Padideh MSH,Varazdat,Haroyan,Defender
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Padideh MSH,Drissa,Diarrassouba,Forward
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Padideh MSH,Hossein,Mehraban,Forward
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Padideh MSH,Mojtaba,Roshangar,Goalkeeper
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Padideh MSH,Akbar,Imani,Midfield
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Padideh MSH,Milad,Kamandani,Midfield
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Padideh MSH,Mohamad Ali,Faramarzi,Midfield
IPL2016,23,Padideh MSH,Player in Line-up,00:00:00,Padideh MSH,Mohamad Reza,Nasehi,Midfield
IPL2016,23,Padideh MSH,Card: Yellow,00:01:00,Gostaresh TBZ,Luciano Pereira,Mendes,Forward
IPL2016,23,Padideh MSH,Card: Yellow,00:01:00,Gostaresh TBZ,Yousef,Seyedi,Forward
IPL2016,23,Padideh MSH,Card: Yellow,00:01:00,Gostaresh TBZ,Fernando Jesus,Riberio,Goalkeeper
IPL2016,23,Padideh MSH,Player Sub-in,00:09:00,Padideh MSH,Mohsen,Yousefi,Midfield
IPL2016,23,Padideh MSH,Player Sub-out,00:09:00,Padideh MSH,Seyed Abdollah,Hossaini,Defender
IPL2016,23,Padideh MSH,Goal,00:33:00,Padideh MSH,Mohamad Reza,Nasehi,Midfield
IPL2016,23,Padideh MSH,Game Half1 Stop,00:46:00,,,,
IPL2016,23,Padideh MSH,Player Sub-in,00:46:00,Gostaresh TBZ,Mohamad Amin,Darvishi,Forward
IPL2016,23,Padideh MSH,Player Sub-out,00:46:00,Gostaresh TBZ,Reza,Khaleghifar,Midfield
IPL2016,23,Padideh MSH,Game Half2 Start,00:47:00,,,,
IPL2016,23,Padideh MSH,Goal,00:48:00,Padideh MSH,Mohsen,Yousefi,Midfield
IPL2016,23,Padideh MSH,Goal,01:00:00,Gostaresh TBZ,Luciano Pereira,Mendes,Forward
IPL2016,23,Padideh MSH,Penalty Scored,01:10:00,Padideh MSH,Akbar,Imani,Midfield
IPL2016,23,Padideh MSH,Player Sub-in,01:11:00,Padideh MSH,Younes,Shakeri,Forward
IPL2016,23,Padideh MSH,Player Sub-out,01:11:00,Padideh MSH,Hossein,Mehraban,Forward
IPL2016,23,Padideh MSH,Player Sub-in,01:29:00,Padideh MSH,Morteza,Mansouri,Midfield
IPL2016,23,Padideh MSH,Player Sub-out,01:29:00,Padideh MSH,Drissa,Diarrassouba,Forward
IPL2016,23,Padideh MSH,Goal,01:31:00,Gostaresh TBZ,Dariush,Shojaeian,Forward
IPL2016,23,Padideh MSH,Game Half2 Stop,01:39:00,,,,
IPL2016,23,Padideh MSH,Game End,01:40:00,,,,
