Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2016,24,Paykan TEH,Game Half1 Start,00:00:00,,,,
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Padideh MSH,Abolhassan,Jafari,Defender
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Padideh MSH,Moein,Abbasian,Defender
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Padideh MSH,Varazdat,Haroyan,Defender
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Padideh MSH,Drissa,Diarrassouba,Forward
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Padideh MSH,Hossein,Mehraban,Forward
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Padideh MSH,Mojtaba,Roshangar,Goalkeeper
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Padideh MSH,Akbar,Imani,Midfield
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Padideh MSH,Milad,Kamandani,Midfield
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Padideh MSH,Mohamad Ali,Faramarzi,Midfield
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Padideh MSH,Mohamad Reza,Nasehi,Midfield
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Padideh MSH,Mohsen,Yousefi,Midfield
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Paykan TEH,Ali,Hamoodi,Defender
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Paykan TEH,Arman,Ghasemi,Defender
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Paykan TEH,Mehran,Mousavi,Defender
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Paykan TEH,Siavash,Yazdani,Defender
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Paykan TEH,Godwin,Mensha,Forward
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Paykan TEH,Rahman,Ahmadi,Goalkeeper
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Paykan TEH,Abolfazl,Ebrahimi,Midfield
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Paykan TEH,Mahan,Rahmani,Midfield
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Paykan TEH,Mehdi,Shiri,Midfield
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Paykan TEH,Sajjad,Ashouri,Midfield
IPL2016,24,Paykan TEH,Player in Line-up,00:00:00,Paykan TEH,Siamak,Nemati,Midfield
IPL2016,24,Paykan TEH,Card: Yellow,00:01:00,Padideh MSH,Mojtaba,Roshangar,Goalkeeper
IPL2016,24,Paykan TEH,Card: Yellow,00:01:00,Padideh MSH,Mohamad Reza,Nasehi,Midfield
IPL2016,24,Paykan TEH,Goal,00:24:00,Padideh MSH,Drissa,Diarrassouba,Forward
IPL2016,24,Paykan TEH,Game Half1 Stop,00:46:00,,,,
IPL2016,24,Paykan TEH,Game Half2 Start,00:47:00,,,,
IPL2016,24,Paykan TEH,Player Sub-in,00:54:00,Padideh MSH,Ali,Ahmadi,Midfield
IPL2016,24,Paykan TEH,Player Sub-out,00:54:00,Padideh MSH,Hossein,Mehraban,Forward
IPL2016,24,Paykan TEH,Goal,00:56:00,Padideh MSH,Mohsen,Yousefi,Midfield
IPL2016,24,Paykan TEH,Player Sub-in,01:01:00,Paykan TEH,Shahriyar,Moghanlou,Defender
IPL2016,24,Paykan TEH,Player Sub-out,01:01:00,Paykan TEH,Mahan,Rahmani,Midfield
IPL2016,24,Paykan TEH,Player Sub-in,01:13:00,Paykan TEH,Faraz,Emamali,Midfield
IPL2016,24,Paykan TEH,Player Sub-out,01:13:00,Paykan TEH,Arman,Ghasemi,Defender
IPL2016,24,Paykan TEH,Player Sub-in,01:15:00,Padideh MSH,Ali,Ahmadi,Midfield
IPL2016,24,Paykan TEH,Player Sub-out,01:15:00,Padideh MSH,Mohsen,Yousefi,Midfield
IPL2016,24,Paykan TEH,Player Sub-in,01:19:00,Padideh MSH,Hossain,Zamehran,Forward
IPL2016,24,Paykan TEH,Player Sub-out,01:19:00,Padideh MSH,Drissa,Diarrassouba,Forward
IPL2016,24,Paykan TEH,Player Sub-in,01:25:00,Paykan TEH,Amir,Roostaei,Midfield
IPL2016,24,Paykan TEH,Player Sub-out,01:25:00,Paykan TEH,Ali,Hamoodi,Defender
IPL2016,24,Paykan TEH,Game Half2 Stop,01:39:00,,,,
IPL2016,24,Paykan TEH,Game End,01:40:00,,,,
