Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2016,27,Sanat Naft ABD,Game Half1 Start,00:00:00,,,,
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,FC Mashhad MSH,Mohamad Reza,Khanzadeh,Defender
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,FC Mashhad MSH,Payam,Malekian,Defender
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,FC Mashhad MSH,Abbas,Asgari,Forward
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,FC Mashhad MSH,Goran,Jerkovic,Forward
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,FC Mashhad MSH,Rouhollah,Sayfollahi,Forward
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,FC Mashhad MSH,Mohamad,Nasseri,Goalkeeper
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,FC Mashhad MSH,Abdolreza,Zarei,Midfield
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,FC Mashhad MSH,Alireza,Jalili,Midfield
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,FC Mashhad MSH,Hossain,Badamaki,Midfield
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,FC Mashhad MSH,Reza,Sharbati,Midfield
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,FC Mashhad MSH,Salar,Afrasiabi,Midfield
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,Sanat Naft ABD,Ali,Abodollah Zadeh,Defender
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,Sanat Naft ABD,Hossain,Baghlani,Defender
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,Sanat Naft ABD,Mojtaba,Mamshali,Defender
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,Sanat Naft ABD,Hakeem,Nassari,Forward
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,Sanat Naft ABD,Nasser,Salari,Goalkeeper
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,Sanat Naft ABD,Amin,Zolaykani,Midfield
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,Sanat Naft ABD,Aziz,Maeboudi,Midfield
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,Sanat Naft ABD,Bahdor,Abdi,Midfield
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,Sanat Naft ABD,Mohamad,Shaadkaam,Midfield
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,Sanat Naft ABD,Reza,Jubayreh,Midfield
IPL2016,27,Sanat Naft ABD,Player in Line-up,00:00:00,Sanat Naft ABD,Zobair,Neeknafs,Midfield
IPL2016,27,Sanat Naft ABD,Card: Yellow,00:01:00,FC Mashhad MSH,Mohamad Reza,Khanzadeh,Defender
IPL2016,27,Sanat Naft ABD,Card: Yellow,00:01:00,FC Mashhad MSH,Vahid,Asgari,Defender
IPL2016,27,Sanat Naft ABD,Card: Yellow,00:01:00,FC Mashhad MSH,Salar,Afrasiabi,Midfield
IPL2016,27,Sanat Naft ABD,Card: Yellow,00:01:00,Sanat Naft ABD,Mojtaba,Mamshali,Defender
IPL2016,27,Sanat Naft ABD,Card: Yellow,00:01:00,Sanat Naft ABD,Hakeem,Nassari,Forward
IPL2016,27,Sanat Naft ABD,Card: Yellow,00:01:00,Sanat Naft ABD,Kim,Gwi-hyeon,Midfield
IPL2016,27,Sanat Naft ABD,Card: Yellow,00:01:00,Sanat Naft ABD,Mohamad,Shaadkaam,Midfield
IPL2016,27,Sanat Naft ABD,Player Sub-in,00:32:00,FC Mashhad MSH,Mohsen,Azarpaad,Midfield
IPL2016,27,Sanat Naft ABD,Player Sub-out,00:32:00,FC Mashhad MSH,Abdolreza,Zarei,Midfield
IPL2016,27,Sanat Naft ABD,"Goal, Own",00:36:00,Sanat Naft ABD,Vahid,Asgari,Defender
IPL2016,27,Sanat Naft ABD,Game Half1 Stop,00:46:00,,,,
IPL2016,27,Sanat Naft ABD,Game Half2 Start,00:47:00,,,,
IPL2016,27,Sanat Naft ABD,Goal,00:58:00,FC Mashhad MSH,Vahid,Asgari,Defender
IPL2016,27,Sanat Naft ABD,Player Sub-out,01:05:00,Sanat Naft ABD,Bahdor,Abdi,Midfield
IPL2016,27,Sanat Naft ABD,Player Sub-in,01:06:00,Sanat Naft ABD,Hossain,Saaki,Forward
IPL2016,27,Sanat Naft ABD,Player Sub-out,01:06:00,Sanat Naft ABD,Reza,Jubayreh,Midfield
IPL2016,27,Sanat Naft ABD,Player Sub-in,01:22:00,FC Mashhad MSH,Maysam,Hossaini,Defender
IPL2016,27,Sanat Naft ABD,Player Sub-out,01:22:00,FC Mashhad MSH,Hossain,Badamaki,Midfield
IPL2016,27,Sanat Naft ABD,Player Sub-in,01:29:00,Sanat Naft ABD,Ali Saleh,Hashem,Forward
IPL2016,27,Sanat Naft ABD,Player Sub-out,01:29:00,Sanat Naft ABD,Mohamad,Shaadkaam,Midfield
IPL2016,27,Sanat Naft ABD,Game Half2 Stop,01:39:00,,,,
IPL2016,27,Sanat Naft ABD,Game End,01:40:00,,,,
