Season,Round,ClubHome,ClubAway,PlayDate
IPL2015,01,Esteghlal KHU,Teraktor TBZ,2017-07-27 21:00:00+04:30
IPL2015,01,Naft TEH,SepidRood RST,2017-07-27 21:00:00+04:30
IPL2015,01,Perspolis TEH,Foolad KHU,2017-07-27 21:00:00+04:30
IPL2015,01,SiahJamegan MSH,Zobahan ESF,2017-07-27 20:45:00+04:30
IPL2015,01,Gostaresh TBZ,Pars Jonobi JAM,2017-07-28 20:00:00+04:30
IPL2015,01,Paykan TEH,Padideh MSH,2017-07-28 20:45:00+04:30
IPL2015,01,Sanat Naft ABD,Esteghlal TEH,2017-07-28 21:00:00+04:30
IPL2015,01,Sepahan ESF,Saipa ALB,2017-07-28 20:30:00+04:30
IPL2015,02,Teraktor TBZ,Perspolis TEH,2017-08-03 19:30:00+04:30
IPL2015,02,Saipa ALB,Sanat Naft ABD,2017-08-03 20:30:00+04:30
IPL2015,02,Foolad KHU,Naft TEH,2017-08-03 20:45:00+04:30
IPL2015,02,SepidRood RST,SiahJamegan MSH,2017-08-03 21:00:00+04:30
IPL2015,02,Zobahan ESF,Gostaresh TBZ,2017-08-04 20:30:00+04:30
IPL2015,02,Pars Jonobi JAM,Paykan TEH,2017-08-04 21:00:00+04:30
IPL2015,02,Padideh MSH,Sepahan ESF,2017-08-04 21:00:00+04:30
IPL2015,02,Esteghlal TEH,Esteghlal KHU,2017-08-04 21:00:00+04:30
IPL2015,03,Gostaresh TBZ,SepidRood RST,2017-08-10 19:45:00+04:30
IPL2015,03,Esteghlal KHU,Saipa ALB,2017-08-10 20:30:00+04:30
IPL2015,03,SiahJamegan MSH,Foolad KHU,2017-08-10 20:30:00+04:30
IPL2015,03,Paykan TEH,Zobahan ESF,2017-08-10 20:30:00+04:30
IPL2015,03,Sanat Naft ABD,Padideh MSH,2017-08-10 20:30:00+04:30
IPL2015,03,Sepahan ESF,Pars Jonobi JAM,2017-08-10 20:30:00+04:30
IPL2015,03,Naft TEH,Perspolis TEH,2017-08-10 20:45:00+04:30
IPL2015,03,Esteghlal TEH,Teraktor TBZ,2017-08-10 20:45:00+04:30
IPL2015,04,Perspolis TEH,SiahJamegan MSH,2017-08-16 20:45:00+04:30
IPL2015,04,Teraktor TBZ,Naft TEH,2017-08-17 19:45:00+04:30
IPL2015,04,Zobahan ESF,Sepahan ESF,2017-08-17 20:15:00+04:30
IPL2015,04,Saipa ALB,Esteghlal TEH,2017-08-17 20:45:00+04:30
IPL2015,04,Foolad KHU,Gostaresh TBZ,2017-08-18 20:30:00+04:30
IPL2015,04,Padideh MSH,Esteghlal KHU,2017-08-18 20:45:00+04:30
IPL2015,04,SepidRood RST,Paykan TEH,2017-08-18 20:45:00+04:30
IPL2015,04,Pars Jonobi JAM,Sanat Naft ABD,2017-08-18 20:45:00+04:30
IPL2015,05,Esteghlal TEH,Padideh MSH,2017-08-22 18:00:00+04:30
IPL2015,05,Saipa ALB,Teraktor TBZ,2017-08-22 20:15:00+04:30
IPL2015,05,Sepahan ESF,SepidRood RST,2017-08-22 20:15:00+04:30
IPL2015,05,Sanat Naft ABD,Zobahan ESF,2017-08-22 20:30:00+04:30
IPL2015,05,SiahJamegan MSH,Naft TEH,2017-08-24 18:35:00+04:30
IPL2015,05,Paykan TEH,Foolad KHU,2017-08-24 20:15:00+04:30
IPL2015,05,Esteghlal KHU,Pars Jonobi JAM,2017-08-24 20:30:00+04:30
IPL2015,05,Gostaresh TBZ,Perspolis TEH,2017-08-25 21:00:00+04:30
IPL2015,06,SepidRood RST,Sanat Naft ABD,2017-09-14 18:45:00+04:30
IPL2015,06,Naft TEH,Gostaresh TBZ,2017-09-14 19:45:00+04:30
IPL2015,06,Foolad KHU,Sepahan ESF,2017-09-14 20:00:00+04:30
IPL2015,06,Teraktor TBZ,SiahJamegan MSH,2017-09-15 19:00:00+04:30
IPL2015,06,Zobahan ESF,Esteghlal KHU,2017-09-15 19:45:00+04:30
IPL2015,06,Pars Jonobi JAM,Esteghlal TEH,2017-09-15 20:00:00+04:30
IPL2015,06,Padideh MSH,Saipa ALB,2017-09-15 21:00:00+04:30
IPL2015,06,Perspolis TEH,Paykan TEH,2017-09-17 20:00:00+04:30
IPL2015,07,Esteghlal TEH,Zobahan ESF,2017-09-20 20:00:00+04:30
IPL2015,07,SiahJamegan MSH,Gostaresh TBZ,2017-09-21 19:30:00+04:30
IPL2015,07,Sepahan ESF,Perspolis TEH,2017-09-21 20:00:00+04:30
IPL2015,07,Esteghlal KHU,SepidRood RST,2017-09-21 20:00:00+04:30
IPL2015,07,Teraktor TBZ,Padideh MSH,2017-09-22 17:45:00+04:30
IPL2015,07,Paykan TEH,Naft TEH,2017-09-22 18:30:00+04:30
IPL2015,07,Saipa ALB,Pars Jonobi JAM,2017-09-22 18:30:00+04:30
IPL2015,07,Sanat Naft ABD,Foolad KHU,2017-09-22 19:00:00+04:30
IPL2015,08,Gostaresh TBZ,Teraktor TBZ,2017-09-26 16:00:00+04:30
IPL2015,08,SepidRood RST,Esteghlal TEH,2017-09-26 16:15:00+04:30
IPL2015,08,Foolad KHU,Esteghlal KHU,2017-09-26 17:30:00+04:30
IPL2015,08,Naft TEH,Sepahan ESF,2017-09-26 17:45:00+04:30
IPL2015,08,SiahJamegan MSH,Paykan TEH,2017-09-26 18:00:00+04:30
