Season,SquadClub,FirstName,LastName,Nationality,DateOfBirth,PositionDef,ShirtNo
IPL2017,Esteghlal KHU,Abbas,Bouazar,Iran,0001-01-01,Midfield,
IPL2017,Esteghlal KHU,Abolfazl,Aalaei,Brazil,0001-01-01,Defender,30
IPL2017,Esteghlal KHU,Abolfazl,Mohamad Hassani,Iran,0001-01-01,Forward,29
IPL2017,Esteghlal KHU,Aghil,Kaabi,Iran,0001-01-01,Defender,4
IPL2017,Esteghlal KHU,Alireza,Daghagheleh,Iran,0001-01-01,Midfield,25
IPL2017,Esteghlal KHU,Bagher,Hashemi,Iran,0001-01-01,Defender,28
IPL2017,Esteghlal KHU,Goudarz,Davoodi,Iran,0001-01-01,Goalkeeper,70
IPL2017,Esteghlal KHU,Hadi,Khanifar,Iran,0001-01-01,Midfield,7
IPL2017,Esteghlal KHU,Hakeem,Nassari,Iran,0001-01-01,Forward,8
IPL2017,Esteghlal KHU,Hassan,Pour Hamidi,Iran,0001-01-01,Midfield,33
IPL2017,Esteghlal KHU,Hossain,Bazyari,Iran,0001-01-01,Defender,14
IPL2017,Esteghlal KHU,Hossain,Sadeghi,Iran,0001-01-01,Midfield,
IPL2017,Esteghlal KHU,Hossain,Bahrami,Iran,0001-01-01,Defender,23
IPL2017,Esteghlal KHU,Hossain,Pour Hamidi,Iran,0001-01-01,Goalkeeper,40
IPL2017,Esteghlal KHU,Maysam,Doraghi,Iran,0001-01-01,Midfield,6
IPL2017,Esteghlal KHU,Mohamad Ali,Faramarzi,Iran,0001-01-01,Defender,2
IPL2017,Esteghlal KHU,Mostafa,Ghanbari Zadeh,Iran,0001-01-01,Midfield,32
IPL2017,Esteghlal KHU,Mostafa,Mahi,Iran,0001-01-01,Midfield,96
IPL2017,Esteghlal KHU,Mousa Salif,Coulibaly,Mali,0001-01-01,Defender,5
IPL2017,Esteghlal KHU,Parviz,Karimi,Iran,0001-01-01,Goalkeeper,
IPL2017,Esteghlal KHU,Paymon,Heshmati,Iran,0001-01-01,Defender,15
IPL2017,Esteghlal KHU,Pedram,Mohamadi,Iran,0001-01-01,Midfield,39
IPL2017,Esteghlal KHU,Reza,Karmlachab,Iran,0001-01-01,Forward,11
IPL2017,Esteghlal KHU,Saeed,Zare,Iran,0001-01-01,Midfield,
IPL2017,Esteghlal KHU,Salman,Bahrani,Brazil,0001-01-01,Forward,17
IPL2017,Esteghlal KHU,Seyed Alireza,Zandavi,Iran,0001-01-01,Midfield,
IPL2017,Esteghlal KHU,Taleb,Reekani,Iran,0001-01-01,Midfield,10
IPL2017,Esteghlal KHU,Vahid,Namdari,Iran,0001-01-01,Defender,21
IPL2017,Esteghlal KHU,Vahid,Sheikh Vaysi,Iran,0001-01-01,Goalkeeper,1
