Season,Club,SourceURL
IPL2013,Damash GLN,http://www.iplstats.com/website13-14/playersteam1.htm
IPL2013,Esteghlal KHU,http://www.iplstats.com/website13-14/playersteam15.htm
IPL2013,Esteghlal TEH,http://www.iplstats.com/website13-14/playersteam2.htm
IPL2013,Fajr Sepasi SHZ,http://www.iplstats.com/website13-14/playersteam3.htm
IPL2013,Foolad KHU,http://www.iplstats.com/website13-14/playersteam4.htm
IPL2013,Gostaresh TBZ,http://www.iplstats.com/website13-14/playersteam16.htm
IPL2013,Malavan ANZ,http://www.iplstats.com/website13-14/playersteam5.htm
IPL2013,Mes KRM,http://www.iplstats.com/website13-14/playersteam6.htm
IPL2013,Naft TEH,http://www.iplstats.com/website13-14/playersteam7.htm
IPL2013,Perspolis TEH,http://www.iplstats.com/website13-14/playersteam8.htm
IPL2013,Rahahan RAY,http://www.iplstats.com/website13-14/playersteam9.htm
IPL2013,Saba QOM,http://www.iplstats.com/website13-14/playersteam10.htm
IPL2013,Saipa ALB,http://www.iplstats.com/website13-14/playersteam11.htm
IPL2013,Sepahan ESF,http://www.iplstats.com/website13-14/playersteam12.htm
IPL2013,Teraktor TBZ,http://www.iplstats.com/website13-14/playersteam13.htm
IPL2013,Zobahan ESF,http://www.iplstats.com/website13-14/playersteam14.htm
