Season,Club,URL_IPLStats,URL_PersianLeague
IPL2015,Esteghlal AHV,http://www.iplstats.com/website15-16/playersteam15.htm,
IPL2015,Esteghlal KHU,http://www.iplstats.com/website15-16/playersteam1.htm,
IPL2015,Esteghlal TEH,http://www.iplstats.com/website15-16/playersteam2.htm,
IPL2015,Foolad KHU,http://www.iplstats.com/website15-16/playersteam3.htm,
IPL2015,Gostaresh TBZ,http://www.iplstats.com/website15-16/playersteam4.htm,
IPL2015,Malavan ANZ,http://www.iplstats.com/website15-16/playersteam5.htm,
IPL2015,Naft TEH,http://www.iplstats.com/website15-16/playersteam6.htm,
IPL2015,Padideh MSH,http://www.iplstats.com/website15-16/playersteam7.htm,
IPL2015,Perspolis TEH,http://www.iplstats.com/website15-16/playersteam9.htm,
IPL2015,Rahahan TEH,http://www.iplstats.com/website15-16/playersteam8.htm,
IPL2015,Saba QOM,http://www.iplstats.com/website15-16/playersteam10.htm,
IPL2015,Saipa ALB,http://www.iplstats.com/website15-16/playersteam11.htm,
IPL2015,Sepahan ESF,http://www.iplstats.com/website15-16/playersteam12.htm,
IPL2015,SiahJamegan MSH,http://www.iplstats.com/website15-16/playersteam16.htm,
IPL2015,Teraktor TBZ,http://www.iplstats.com/website15-16/playersteam13.htm,
IPL2015,Zobahan ESF,http://www.iplstats.com/website15-16/playersteam14.htm,
