Season,Club,URL_IPLStats
IPL2017,Esteghlal KHU,http://iplstats.com/playersteam1.htm
IPL2017,Esteghlal TEH,http://iplstats.com/playersteam2.htm
IPL2017,Foolad KHU,http://iplstats.com/playersteam4.htm
IPL2017,Gostaresh TBZ,http://iplstats.com/playersteam5.htm
IPL2017,Naft TEH,http://iplstats.com/playersteam6.htm
IPL2017,Padideh MSH,http://iplstats.com/playersteam7.htm
IPL2017,Pars Jonobi JAM,http://iplstats.com/playersteam16.htm
IPL2017,Paykan TEH,http://iplstats.com/playersteam8.htm
IPL2017,Perspolis TEH,http://iplstats.com/playersteam9.htm
IPL2017,Saipa ALB,http://iplstats.com/playersteam10.htm
IPL2017,Sanat Naft ABD,http://iplstats.com/playersteam11.htm
IPL2017,Sepahan ESF,http://iplstats.com/playersteam12.htm
IPL2017,SepidRood RST,http://iplstats.com/playersteam15.htm
IPL2017,SiahJamegan MSH,http://iplstats.com/playersteam3.htm
IPL2017,Teraktor TBZ,http://iplstats.com/playersteam13.htm
IPL2017,Zobahan ESF,http://iplstats.com/playersteam14.htm
